Started job at 2024-02-07 09:25:58.301338
apnea_matrix length: 20, non_apnea_matrix length = 20, matrix length = 60594
apnea_matrix length: 192, non_apnea_matrix length = 192, matrix length = 60978
apnea_matrix length: 21, non_apnea_matrix length = 21, matrix length = 61020
apnea_matrix length: 41, non_apnea_matrix length = 41, matrix length = 61102
apnea_matrix length: 27, non_apnea_matrix length = 27, matrix length = 61156
apnea_matrix length: 151, non_apnea_matrix length = 151, matrix length = 61458
apnea_matrix length: 654, non_apnea_matrix length = 654, matrix length = 62766
apnea_matrix length: 224, non_apnea_matrix length = 224, matrix length = 63214
apnea_matrix length: 182, non_apnea_matrix length = 182, matrix length = 63578
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 63578
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 63582
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 63582
apnea_matrix length: 148, non_apnea_matrix length = 148, matrix length = 63878
apnea_matrix length: 420, non_apnea_matrix length = 420, matrix length = 64718
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 64726
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 64732
apnea_matrix length: 358, non_apnea_matrix length = 358, matrix length = 65448
apnea_matrix length: 411, non_apnea_matrix length = 411, matrix length = 66270
apnea_matrix length: 27, non_apnea_matrix length = 27, matrix length = 66324
apnea_matrix length: 69, non_apnea_matrix length = 69, matrix length = 66462
apnea_matrix length: 240, non_apnea_matrix length = 240, matrix length = 66942
apnea_matrix length: 143, non_apnea_matrix length = 143, matrix length = 67228
apnea_matrix length: 20, non_apnea_matrix length = 20, matrix length = 67268
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 67280
apnea_matrix length: 719, non_apnea_matrix length = 719, matrix length = 68718
apnea_matrix length: 68, non_apnea_matrix length = 68, matrix length = 68854
apnea_matrix length: 550, non_apnea_matrix length = 550, matrix length = 69954
apnea_matrix length: 150, non_apnea_matrix length = 150, matrix length = 70254
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 70258
apnea_matrix length: 125, non_apnea_matrix length = 125, matrix length = 70508
apnea_matrix length: 122, non_apnea_matrix length = 122, matrix length = 70752
apnea_matrix length: 472, non_apnea_matrix length = 472, matrix length = 71696
apnea_matrix length: 5, non_apnea_matrix length = 5, matrix length = 71706
apnea_matrix length: 6, non_apnea_matrix length = 6, matrix length = 71718
apnea_matrix length: 248, non_apnea_matrix length = 248, matrix length = 72214
apnea_matrix length: 7, non_apnea_matrix length = 7, matrix length = 72228
apnea_matrix length: 47, non_apnea_matrix length = 47, matrix length = 72322
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 72322
apnea_matrix length: 39, non_apnea_matrix length = 39, matrix length = 72400
apnea_matrix length: 12, non_apnea_matrix length = 12, matrix length = 72424
apnea_matrix length: 282, non_apnea_matrix length = 282, matrix length = 72988
apnea_matrix length: 704, non_apnea_matrix length = 704, matrix length = 74396
apnea_matrix length: 936, non_apnea_matrix length = 936, matrix length = 76268
apnea_matrix length: 623, non_apnea_matrix length = 623, matrix length = 77514
apnea_matrix length: 47, non_apnea_matrix length = 47, matrix length = 77608
apnea_matrix length: 114, non_apnea_matrix length = 114, matrix length = 77836
apnea_matrix length: 293, non_apnea_matrix length = 293, matrix length = 78422
apnea_matrix length: 58, non_apnea_matrix length = 58, matrix length = 78538
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 78556
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 78564
apnea_matrix length: 37, non_apnea_matrix length = 37, matrix length = 78638
apnea_matrix length: 157, non_apnea_matrix length = 157, matrix length = 78952
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 78952
apnea_matrix length: 43, non_apnea_matrix length = 43, matrix length = 79038
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 79044
apnea_matrix length: 169, non_apnea_matrix length = 169, matrix length = 79382
apnea_matrix length: 51, non_apnea_matrix length = 51, matrix length = 79484
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 79492
apnea_matrix length: 73, non_apnea_matrix length = 73, matrix length = 79638
apnea_matrix length: 95, non_apnea_matrix length = 95, matrix length = 79828
apnea_matrix length: 137, non_apnea_matrix length = 137, matrix length = 80102
apnea_matrix length: 53, non_apnea_matrix length = 53, matrix length = 80208
apnea_matrix length: 22, non_apnea_matrix length = 22, matrix length = 80252
apnea_matrix length: 150, non_apnea_matrix length = 150, matrix length = 80552
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 80560
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 80566
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 80570
apnea_matrix length: 27, non_apnea_matrix length = 27, matrix length = 80624
apnea_matrix length: 14, non_apnea_matrix length = 14, matrix length = 80652
apnea_matrix length: 97, non_apnea_matrix length = 97, matrix length = 80846
apnea_matrix length: 85, non_apnea_matrix length = 85, matrix length = 81016
apnea_matrix length: 40, non_apnea_matrix length = 40, matrix length = 81096
apnea_matrix length: 20, non_apnea_matrix length = 20, matrix length = 81136
apnea_matrix length: 1004, non_apnea_matrix length = 1004, matrix length = 83144
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 83144
apnea_matrix length: 130, non_apnea_matrix length = 130, matrix length = 83404
apnea_matrix length: 141, non_apnea_matrix length = 141, matrix length = 83686
apnea_matrix length: 74, non_apnea_matrix length = 74, matrix length = 83834
apnea_matrix length: 448, non_apnea_matrix length = 448, matrix length = 84730
apnea_matrix length: 11, non_apnea_matrix length = 11, matrix length = 84752
apnea_matrix length: 288, non_apnea_matrix length = 288, matrix length = 85328
apnea_matrix length: 289, non_apnea_matrix length = 289, matrix length = 85906
apnea_matrix length: 3, non_apnea_matrix length = 3, matrix length = 85912
apnea_matrix length: 26, non_apnea_matrix length = 26, matrix length = 85964
apnea_matrix length: 246, non_apnea_matrix length = 246, matrix length = 86456
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 86474
apnea_matrix length: 15, non_apnea_matrix length = 15, matrix length = 86504
apnea_matrix length: 311, non_apnea_matrix length = 311, matrix length = 87126
apnea_matrix length: 349, non_apnea_matrix length = 349, matrix length = 87824
apnea_matrix length: 685, non_apnea_matrix length = 685, matrix length = 89194
apnea_matrix length: 406, non_apnea_matrix length = 406, matrix length = 90006
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 90006
apnea_matrix length: 94, non_apnea_matrix length = 94, matrix length = 90194
apnea_matrix length: 123, non_apnea_matrix length = 123, matrix length = 90440
apnea_matrix length: 2, non_apnea_matrix length = 2, matrix length = 90444
apnea_matrix length: 1665, non_apnea_matrix length = 1079, matrix length = 93188
apnea_matrix length: 9, non_apnea_matrix length = 9, matrix length = 93206
apnea_matrix length: 39, non_apnea_matrix length = 39, matrix length = 93284
apnea_matrix length: 264, non_apnea_matrix length = 264, matrix length = 93812
apnea_matrix length: 181, non_apnea_matrix length = 181, matrix length = 94174
apnea_matrix length: 258, non_apnea_matrix length = 258, matrix length = 94690
apnea_matrix length: 61, non_apnea_matrix length = 61, matrix length = 94812
apnea_matrix length: 314, non_apnea_matrix length = 314, matrix length = 95440
apnea_matrix length: 389, non_apnea_matrix length = 389, matrix length = 96218
apnea_matrix length: 158, non_apnea_matrix length = 158, matrix length = 96534
apnea_matrix length: 44, non_apnea_matrix length = 44, matrix length = 96622
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 96622
